Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
1289,Hamed Junior Traorè,ci CIV,MF,Auxerre,fr Ligue 1,24,2000,23.3,971,9,109,424,457,87,971,98,34,34.7,57,58.2,615,3769,1876,66,49,19,70,53,675,146,Matches
1290,Vinicius Júnior,br BRA,FW,Real Madrid,es La Liga,24,2000,25.0,1264,4,75,378,839,199,1261,191,82,42.9,95,49.7,952,7763,4525,169,87,106,72,49,1059,256,Matches
1291,Josip Juranović,hr CRO,"DF,MF",Union Berlin,de Bundesliga,28,1995,12.9,709,41,212,287,222,7,709,24,11,45.8,8,33.3,307,1569,797,19,12,3,12,3,320,45,Matches
1292,David Jurásek,cz CZE,DF,Hoffenheim,de Bundesliga,23,2000,6.9,499,16,132,194,176,9,499,12,3,25.0,8,66.7,238,1299,599,17,21,1,6,5,310,42,Matches
1293,Stanko Jurić,hr CRO,MF,Valladolid,es La Liga,27,1996,19.2,981,90,423,505,65,10,981,10,6,60.0,4,40.0,388,1841,789,5,6,2,21,14,544,8,Matches
1294,James Justin,eng ENG,DF,Leicester City,eng Premier League,26,1998,32.4,1948,151,692,881,387,38,1948,30,9,30.0,13,43.3,866,3649,1788,39,27,4,31,15,1077,96,Matches
1295,Filip Jørgensen,dk DEN,GK,Chelsea,eng Premier League,22,2002,6.0,202,174,201,1,0,0,202,0,0,,0,,145,676,423,0,0,0,0,0,139,0,Matches
1296,Mohamed Kaba,fr FRA,MF,Lecce,it Serie A,22,2001,5.0,240,14,63,139,39,6,240,6,2,33.3,3,50.0,136,655,243,3,4,0,13,5,162,8,Matches
1297,Yusuf Kabadayı,de GER,"FW,MF",Augsburg,de Bundesliga,20,2004,0.8,42,0,2,16,25,2,42,6,2,33.3,3,50.0,29,246,73,2,4,0,6,0,30,8,Matches
1298,Almugera Kabar,de GER,DF,Dortmund,de Bundesliga,18,2006,1.5,114,0,27,68,20,1,114,2,1,50.0,0,0.0,71,285,101,5,3,0,0,3,78,2,Matches
1299,Christian Kabasele,be BEL,DF,Udinese,it Serie A,33,1991,12.9,715,101,337,328,51,23,715,1,1,100.0,0,0.0,393,1930,1020,9,7,0,9,3,438,7,Matches
1300,Issa Kaboré,bf BFA,"DF,FW",Werder Bremen,de Bundesliga,23,2001,3.4,253,12,57,95,109,16,253,21,7,33.3,13,61.9,128,898,440,15,12,5,9,2,137,35,Matches
1301,Yaya Kader Fofana,ml MLI,"MF,FW",Reims,fr Ligue 1,20,2004,7.0,317,7,78,156,92,17,317,22,14,63.6,8,36.4,209,1359,773,19,12,6,14,8,220,29,Matches
1302,Pavel Kadeřábek,cz CZE,DF,Hoffenheim,de Bundesliga,32,1992,17.5,1016,52,255,415,348,31,1016,8,5,62.5,3,37.5,456,1808,872,15,19,1,6,3,605,86,Matches
1303,Tino Kadewere,zw ZIM,"MF,FW",Nantes,fr Ligue 1,28,1996,5.7,242,6,44,117,86,20,242,15,4,26.7,11,73.3,133,623,270,5,5,1,14,7,156,27,Matches
1304,Ferdi Kadioglu,tr TUR,"DF,MF",Brighton,eng Premier League,24,1999,4.3,231,13,71,91,72,9,231,7,3,42.9,3,42.9,124,479,183,1,0,0,6,2,144,27,Matches
1305,Arnaud Kalimuendo,fr FRA,"FW,MF",Rennes,fr Ligue 1,22,2002,28.6,885,18,74,432,392,126,877,62,21,33.9,39,62.9,521,2746,1273,50,30,27,59,59,684,167,Matches
1306,Pierre Kalulu,fr FRA,DF,Juventus,it Serie A,24,2000,26.0,2275,182,924,1197,165,17,2275,11,4,36.4,5,45.5,1559,9462,5089,48,36,2,19,7,1752,24,Matches
1307,Justin-Noël Kalumba,fr FRA,"FW,MF",Angers,fr Ligue 1,19,2004,0.3,18,0,2,5,11,1,18,2,1,50.0,1,50.0,13,88,31,1,1,0,2,2,14,3,Matches
1308,Daichi Kamada,jp JPN,MF,Crystal Palace,eng Premier League,27,1996,17.4,938,19,208,497,240,32,938,19,7,36.8,9,47.4,485,2291,1121,25,19,6,17,20,600,56,Matches
1309,Waren Kamanzi,no NOR,"DF,MF",Toulouse,fr Ligue 1,23,2000,11.4,613,22,113,304,202,27,613,29,16,55.2,12,41.4,332,1988,1037,29,17,9,15,15,349,62,Matches
1310,Boubacar Kamara,fr FRA,MF,Aston Villa,eng Premier League,24,1999,19.2,1113,95,344,637,141,12,1113,27,9,33.3,9,33.3,591,2976,1370,19,13,2,12,17,754,7,Matches
1311,Glen Kamara,fi FIN,MF,Rennes,fr Ligue 1,28,1995,7.4,476,11,70,309,101,13,476,8,4,50.0,4,50.0,268,996,356,5,3,0,7,6,350,22,Matches
1312,Hassane Kamara,ci CIV,DF,Udinese,it Serie A,30,1994,22.2,1241,57,363,509,384,24,1241,46,18,39.1,21,45.7,618,3311,1617,52,37,5,24,10,703,103,Matches
1313,Noham Kamara,fr FRA,DF,Paris S-G,fr Ligue 1,17,2007,0.8,84,3,37,44,3,0,84,0,0,,0,,56,381,170,2,1,0,0,0,60,0,Matches
1314,Willy Kambwala,fr FRA,DF,Villarreal,es La Liga,19,2004,12.4,706,118,431,262,17,6,706,5,5,100.0,0,0.0,367,1707,846,2,2,1,9,5,463,0,Matches
1315,Jakub Kamiński,pl POL,"DF,MF",Wolfsburg,de Bundesliga,22,2002,12.6,603,31,114,237,264,36,603,22,8,36.4,13,59.1,301,1914,1112,41,25,16,20,11,311,69,Matches
1316,Kevin Kampl,si SVN,MF,RB Leipzig,de Bundesliga,33,1990,17.7,1316,37,245,802,279,13,1316,19,13,68.4,6,31.6,793,4017,2024,21,34,3,13,12,957,32,Matches
1317,Nordine Kandil,fr FRA,MF,Strasbourg,fr Ligue 1,22,2001,0.1,8,1,2,6,0,0,8,1,1,100.0,0,0.0,5,31,21,1,0,0,0,0,7,0,Matches
1318,Harry Kane,eng ENG,FW,Bayern Munich,de Bundesliga,31,1993,26.5,917,20,77,333,511,162,908,53,23,43.4,29,54.7,513,2260,954,29,19,21,41,22,716,143,Matches
1319,Lee Kang-in,kr KOR,"FW,MF",Paris S-G,fr Ligue 1,23,2001,18.5,1432,13,107,616,720,68,1432,51,29,56.9,19,37.3,938,4933,2194,50,45,18,22,26,1172,138,Matches
1320,Yann Karamoh,fr FRA,"MF,FW",Torino,it Serie A,26,1998,11.6,412,8,49,161,205,49,412,38,12,31.6,22,57.9,292,2054,1023,37,27,21,26,26,328,80,Matches
1321,Atakan Karazor,,MF,Stuttgart,de Bundesliga,27,1996,29.1,2124,86,417,1361,359,27,2124,21,12,57.1,4,19.0,1112,4676,1987,19,33,1,30,16,1426,33,Matches
1322,Jesper Karlsson,se SWE,FW,Bologna,it Serie A,26,1998,3.3,128,1,14,48,68,6,128,6,2,33.3,3,50.0,97,557,207,6,8,0,6,9,106,31,Matches
1323,Jesper Karlsson,se SWE,FW,Lecce,it Serie A,26,1998,5.5,202,5,25,77,101,9,201,9,6,66.7,3,33.3,111,667,290,11,10,1,10,6,136,32,Matches
1324,Jesper Karlström,se SWE,MF,Udinese,it Serie A,29,1995,35.4,1882,101,534,1134,232,24,1882,15,6,40.0,9,60.0,1002,4851,2204,23,26,4,34,18,1199,46,Matches
1325,Lior Kasa,il ISR,"MF,FW",Genoa,it Serie A,18,2005,2.6,111,8,26,54,33,6,111,5,1,20.0,2,40.0,58,288,124,1,3,0,6,1,64,7,Matches
1326,Grigoris Kastanos,cy CYP,"MF,FW",Hellas Verona,it Serie A,26,1998,9.7,438,8,69,218,156,14,438,15,0,0.0,14,93.3,239,1162,499,12,10,1,8,10,262,27,Matches
1327,Mikkel Kaufmann,dk DEN,FW,Heidenheim,de Bundesliga,23,2001,4.1,139,6,19,71,51,12,139,7,2,28.6,3,42.9,77,367,171,4,6,4,11,2,99,21,Matches
1328,Joachim Kayi Sanda,fr FRA,DF,Southampton,eng Premier League,17,2006,0.2,19,1,8,10,1,1,19,0,0,,0,,14,63,35,0,0,0,1,0,15,0,Matches
1329,Michael Kayode,it ITA,DF,Brentford,eng Premier League,20,2004,5.9,313,23,101,121,97,13,313,18,9,50.0,8,44.4,144,944,500,12,7,3,13,3,143,24,Matches
1330,Michael Kayode,it ITA,"DF,FW",Fiorentina,it Serie A,20,2004,1.4,88,5,30,34,24,2,88,6,3,50.0,0,0.0,42,218,96,3,1,1,1,3,43,6,Matches
1331,Moise Kean,it ITA,FW,Fiorentina,it Serie A,24,2000,29.1,700,28,49,306,366,132,698,101,44,43.6,49,48.5,454,2460,1078,42,28,32,97,53,541,143,Matches
1332,Michael Keane,eng ENG,DF,Everton,eng Premier League,31,1993,11.7,513,106,295,198,22,17,513,1,0,0.0,1,100.0,229,904,290,1,1,0,2,2,286,3,Matches
1333,Yassine Kechta,ma MAR,"MF,FW",Le Havre,fr Ligue 1,22,2002,23.3,1014,29,220,544,275,27,1014,35,13,37.1,18,51.4,533,3304,1695,44,33,4,35,24,627,85,Matches
1334,Thilo Kehrer,de GER,DF,Monaco,fr Ligue 1,27,1996,26.5,2060,187,852,1153,61,17,2060,3,1,33.3,1,33.3,1193,5962,3512,16,8,0,6,2,1419,2,Matches
1335,Abdoulaye Keita,es ESP,"FW,MF",Getafe,es La Liga,21,2002,1.1,41,3,10,19,12,1,41,3,1,33.3,2,66.7,22,84,24,1,0,0,3,3,25,4,Matches
1336,Mandela Keita,be BEL,MF,Parma,it Serie A,22,2002,20.3,907,48,252,546,126,0,907,31,17,54.8,9,29.0,558,2750,1136,13,18,0,30,18,579,5,Matches
1337,Yannik Keitel,de GER,MF,Stuttgart,de Bundesliga,24,2000,3.0,225,7,50,143,35,4,225,1,1,100.0,0,0.0,105,405,182,2,0,1,2,1,164,3,Matches
1338,Andu Kelati,de GER,"MF,DF",Holstein Kiel,de Bundesliga,21,2002,3.2,159,4,30,90,43,9,159,4,3,75.0,1,25.0,88,310,129,3,0,0,8,4,106,11,Matches
1339,Caoimhín Kelleher,ie IRL,GK,Liverpool,eng Premier League,25,1998,10.0,398,286,396,2,0,0,398,1,1,100.0,0,0.0,290,1131,616,0,0,0,1,0,275,0,Matches
1340,Thomas Keller,de GER,"DF,MF",Heidenheim,de Bundesliga,24,1999,1.6,115,11,53,56,6,0,115,0,0,,0,,51,203,101,0,2,0,2,0,71,0,Matches
1341,Lloyd Kelly,eng ENG,DF,Newcastle Utd,eng Premier League,25,1998,3.4,215,26,105,94,19,4,215,3,2,66.7,1,33.3,120,474,202,0,2,0,3,2,129,5,Matches
1342,Lloyd Kelly,eng ENG,DF,Juventus,it Serie A,25,1998,11.3,797,92,323,383,95,18,797,1,0,0.0,1,100.0,433,2179,1160,10,9,0,9,3,520,26,Matches
1343,Aljoscha Kemlein,de GER,MF,Union Berlin,de Bundesliga,19,2004,10.2,549,16,117,331,105,18,549,9,6,66.7,3,33.3,260,952,437,5,5,1,11,1,329,19,Matches
1344,Marc-Oliver Kempf,de GER,DF,Como,it Serie A,29,1995,29.1,2010,305,1004,932,85,26,2010,5,4,80.0,1,20.0,1136,5290,2703,17,8,1,12,5,1313,4,Matches
1345,Kenedy,br BRA,"MF,FW",Valladolid,es La Liga,28,1996,0.1,5,0,0,1,4,2,5,1,0,0.0,1,100.0,4,15,4,1,0,0,0,1,3,2,Matches
1346,Luca Kerber,de GER,"MF,DF",Heidenheim,de Bundesliga,22,2002,8.7,364,33,131,173,62,11,364,5,1,20.0,3,60.0,175,676,255,1,0,1,12,4,199,12,Matches
1347,Milos Kerkez,hu HUN,DF,Bournemouth,eng Premier League,20,2003,37.1,2158,112,552,900,731,69,2158,48,22,45.8,16,33.3,1094,6388,3711,106,73,16,49,22,1196,197,Matches
1348,Reda Khadra,de GER,"MF,FW",Reims,fr Ligue 1,23,2001,0.9,38,1,8,12,22,1,38,7,4,57.1,2,28.6,28,305,185,4,6,0,1,0,25,7,Matches
1349,Bilal El Khannouss,ma MAR,"MF,FW",Leicester City,eng Premier League,20,2004,24.2,1268,18,183,655,445,35,1268,60,34,56.7,23,38.3,732,4494,2038,73,45,12,38,38,851,89,Matches
1350,Wahbi Khazri,tn TUN,"FW,MF",Montpellier,fr Ligue 1,33,1991,12.4,486,14,63,213,219,34,486,26,7,26.9,16,61.5,259,1515,710,24,13,10,21,25,306,53,Matches
1351,Rani Khedira,de GER,MF,Union Berlin,de Bundesliga,30,1994,30.3,1246,81,337,710,207,30,1246,11,5,45.5,6,54.5,506,2097,738,12,10,2,24,10,617,34,Matches
1352,Abdukodir Khusanov,uz UZB,DF,Manchester City,eng Premier League,20,2004,5.6,445,45,205,211,31,1,445,2,0,0.0,2,100.0,274,1155,435,1,1,0,2,1,332,2,Matches
1353,Abdukodir Khusanov,uz UZB,DF,Lens,fr Ligue 1,20,2004,10.8,683,90,335,322,34,4,683,1,1,100.0,0,0.0,339,1452,642,2,4,0,5,1,392,6,Matches
1354,Kialonda,ao ANG,DF,Lecce,it Serie A,26,1997,23.8,1229,206,772,412,54,32,1229,10,8,80.0,2,20.0,572,2337,1043,4,3,1,14,1,719,5,Matches
1355,Kiké,es ESP,FW,Alavés,es La Liga,34,1989,28.2,894,24,70,404,433,120,891,35,13,37.1,20,57.1,548,2136,739,25,18,10,98,42,719,158,Matches
1356,Max Kilman,eng ENG,DF,West Ham,eng Premier League,27,1997,37.2,2374,464,1317,962,113,32,2374,22,16,72.7,2,9.1,1270,5672,3185,31,14,2,17,4,1581,6,Matches
1357,Joshua Kimmich,de GER,MF,Bayern Munich,de Bundesliga,29,1995,31.6,3867,72,540,2328,1017,19,3867,22,12,54.5,9,40.9,2399,11970,5197,51,83,1,21,7,3047,77,Matches
1358,Presnel Kimpembe,fr FRA,DF,Paris S-G,fr Ligue 1,28,1995,0.3,24,5,18,6,0,0,24,0,0,,0,,12,76,54,0,0,0,0,0,16,0,Matches
1359,Joshua King,eng ENG,MF,Fulham,eng Premier League,17,2007,1.4,87,2,12,31,46,10,87,8,4,50.0,4,50.0,44,335,138,3,4,0,1,6,60,16,Matches
1360,Joshua King,no NOR,"FW,MF",Toulouse,fr Ligue 1,32,1992,18.6,574,22,70,238,282,94,574,64,35,54.7,28,43.8,307,2017,1006,39,24,15,47,33,393,108,Matches
1361,Tom King,wls WAL,GK,Wolves,eng Premier League,29,1995,0.0,1,1,1,0,0,0,1,0,0,,0,,1,8,5,0,0,0,0,0,0,0,Matches
1362,Antonín Kinský,cz CZE,GK,Tottenham,eng Premier League,21,2003,6.0,237,205,234,3,0,0,237,0,0,,0,,143,748,477,1,0,0,0,0,126,0,Matches
1363,Cédric Kipré,ci CIV,DF,Reims,fr Ligue 1,27,1996,24.3,1596,239,842,697,69,16,1596,12,10,83.3,2,16.7,925,5454,2873,16,14,0,15,3,1063,3,Matches
1364,Jakub Kiwior,pl POL,DF,Arsenal,eng Premier League,24,2000,12.5,846,100,281,494,72,5,846,5,3,60.0,2,40.0,492,1988,1037,5,7,1,3,2,615,1,Matches
1365,Tim Kleindienst,de GER,FW,Gladbach,de Bundesliga,28,1995,30.4,1149,74,145,613,403,137,1147,37,14,37.8,23,62.2,545,2407,1024,45,21,24,82,42,797,145,Matches
1366,Lukas Klostermann,de GER,DF,RB Leipzig,de Bundesliga,28,1996,20.4,1472,161,608,751,118,13,1472,5,4,80.0,1,20.0,752,3051,1573,16,14,1,9,0,988,26,Matches
1367,Justin Kluivert,nl NED,MF,Bournemouth,eng Premier League,25,1999,26.0,1086,24,99,366,641,134,1080,87,36,41.4,40,46.0,646,4198,2364,81,55,38,55,27,710,173,Matches
1368,Ansgar Knauff,de GER,"MF,DF",Eint Frankfurt,de Bundesliga,22,2002,17.7,775,20,141,310,336,75,775,56,26,46.4,25,44.6,435,2574,1526,53,35,19,47,17,477,146,Matches
1369,Magnus Knudsen,no NOR,MF,Holstein Kiel,de Bundesliga,23,2001,20.6,987,60,332,548,113,9,987,16,9,56.3,7,43.8,488,2507,1221,16,10,2,26,10,613,25,Matches
1370,Gregor Kobel,ch SUI,GK,Dortmund,de Bundesliga,26,1997,32.0,1312,992,1300,12,0,0,1312,2,2,100.0,0,0.0,831,4028,2240,0,0,0,0,1,776,0,Matches
1371,Robin Koch,de GER,DF,Eint Frankfurt,de Bundesliga,28,1996,28.7,2148,399,1075,1019,60,29,2148,3,1,33.3,2,66.7,1244,5204,2780,9,6,0,12,3,1397,4,Matches
1372,Hervé Koffi,bf BFA,GK,Lens,fr Ligue 1,27,1996,5.0,151,125,149,2,0,0,151,0,0,,0,,105,457,280,0,0,0,0,0,77,0,Matches
1373,Magnus Kofod Andersen,dk DEN,MF,Venezia,it Serie A,25,1999,7.7,370,14,82,205,90,8,370,4,2,50.0,1,25.0,230,1014,496,7,6,0,8,6,238,18,Matches
1374,Derrick Köhn,de GER,"DF,FW",Werder Bremen,de Bundesliga,25,1999,14.9,908,34,232,360,325,31,908,41,15,36.6,21,51.2,549,2550,1333,36,24,7,23,12,587,122,Matches
1375,Philipp Köhn,ch SUI,GK,Monaco,fr Ligue 1,26,1998,19.0,580,477,576,4,0,0,580,0,0,,0,,353,1863,967,0,0,0,0,0,281,0,Matches
1376,Dominik Kohr,de GER,"DF,MF",Mainz 05,de Bundesliga,30,1994,25.5,1693,220,814,744,143,22,1693,9,5,55.6,4,44.4,835,3853,1745,26,20,4,20,7,998,31,Matches
1377,Koka,eg EGY,FW,Le Havre,fr Ligue 1,31,1993,9.5,232,6,34,137,68,31,231,12,6,50.0,6,50.0,114,383,84,0,2,0,6,12,159,20,Matches
1378,Koke,es ESP,MF,Atlético Madrid,es La Liga,32,1992,21.4,1829,52,455,1075,313,10,1829,22,9,40.9,11,50.0,1138,4782,2255,22,21,0,15,8,1339,18,Matches
1379,Sead Kolašinac,ba BIH,DF,Atalanta,it Serie A,31,1993,21.1,1458,71,483,761,230,27,1458,15,3,20.0,12,80.0,878,4210,2812,52,52,2,17,16,1001,47,Matches
1380,Randal Kolo Muani,fr FRA,FW,Juventus,it Serie A,25,1998,12.9,364,3,27,147,193,71,363,44,18,40.9,24,54.5,213,1135,468,21,10,14,41,23,269,100,Matches
1381,Randal Kolo Muani,fr FRA,FW,Paris S-G,fr Ligue 1,25,1998,4.0,132,5,9,41,83,31,131,14,7,50.0,7,50.0,78,370,149,8,4,5,11,10,104,35,Matches
1382,Marco Komenda,hr CRO,DF,Holstein Kiel,de Bundesliga,27,1996,14.5,905,109,462,390,54,11,905,1,1,100.0,0,0.0,440,1831,1096,13,8,1,3,0,596,16,Matches
1383,Mert Kömür,de GER,MF,Augsburg,de Bundesliga,19,2005,7.3,313,8,43,123,151,17,313,22,12,54.5,7,31.8,185,1047,550,18,17,4,22,23,217,46,Matches
1384,Ibrahima Konaté,fr FRA,DF,Liverpool,eng Premier League,25,1999,28.4,2185,223,928,1145,119,23,2185,6,3,50.0,2,33.3,1290,6124,3603,25,15,0,8,2,1576,3,Matches
1385,Ismael Konate,ci CIV,"FW,MF",Empoli,it Serie A,18,2006,1.3,51,3,10,20,22,4,51,2,2,100.0,0,0.0,23,115,74,5,2,2,5,1,35,7,Matches
1386,Geoffrey Kondogbia,cf CTA,"DF,MF",Marseille,fr Ligue 1,31,1993,22.4,2013,155,672,1133,214,15,2013,15,10,66.7,4,26.7,1301,5734,3107,20,33,0,13,13,1550,11,Matches
1387,Abdoul Koné,fr FRA,DF,Reims,fr Ligue 1,19,2005,1.5,86,11,38,39,9,1,86,2,1,50.0,1,50.0,39,150,25,0,0,0,5,1,42,1,Matches
1388,Amadou Koné,ml MLI,MF,Reims,fr Ligue 1,19,2005,14.4,788,61,242,463,99,3,788,25,15,60.0,6,24.0,469,3013,1399,19,15,0,19,12,526,12,Matches
1389,Ismaël Koné,ca CAN,"MF,FW",Marseille,fr Ligue 1,22,2002,4.0,221,6,43,115,65,5,221,8,2,25.0,6,75.0,131,659,237,2,5,2,4,6,170,10,Matches
1390,Ismaël Koné,ca CAN,MF,Rennes,fr Ligue 1,22,2002,5.2,259,9,48,144,70,6,259,10,6,60.0,3,30.0,171,1283,687,16,9,1,10,5,195,16,Matches
1391,Manu Koné,fr FRA,MF,Roma,it Serie A,23,2001,28.6,1555,34,244,969,374,40,1555,72,30,41.7,27,37.5,1006,6125,2923,70,66,13,54,45,1181,50,Matches
1392,Ezri Konsa,eng ENG,DF,Aston Villa,eng Premier League,26,1997,32.6,1915,250,883,934,107,22,1915,18,8,44.4,7,38.9,1132,5817,3008,24,15,2,17,10,1338,11,Matches
1393,Teun Koopmeiners,nl NED,"MF,FW",Juventus,it Serie A,26,1998,22.2,1170,38,180,529,468,50,1170,22,10,45.5,11,50.0,591,2741,1266,32,28,5,40,16,790,127,Matches
1394,Kacper Koscierski,de GER,DF,Bochum,de Bundesliga,17,2007,0.1,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
1395,Odilon Kossounou,ci CIV,DF,Atalanta,it Serie A,23,2001,12.5,790,49,274,426,93,15,790,12,5,41.7,7,58.3,456,2228,1135,13,7,4,12,3,532,14,Matches
1396,Christian Kouamé,ci CIV,"FW,MF",Fiorentina,it Serie A,26,1997,6.9,286,10,28,127,132,35,286,20,7,35.0,11,55.0,151,713,288,7,6,3,17,13,205,46,Matches
1397,Christian Kouamé,ci CIV,"FW,MF",Empoli,it Serie A,26,1997,5.6,217,6,10,104,105,22,217,13,5,38.5,7,53.8,114,568,245,5,4,1,13,7,171,39,Matches
1398,Henri Koudossou,de GER,DF,Augsburg,de Bundesliga,24,1999,8.3,469,32,134,189,148,12,469,17,8,47.1,8,47.1,220,1208,577,19,12,4,14,2,240,48,Matches
1399,Konstantinos Koulierakis,gr GRE,DF,Wolfsburg,de Bundesliga,20,2003,27.4,1886,283,957,839,97,30,1886,12,7,58.3,5,41.7,1049,5137,2681,20,17,0,18,2,1205,8,Matches
1400,Emmanuel Koum Mbondo,fr FRA,DF,Marseille,fr Ligue 1,18,2006,0.1,9,0,3,5,1,0,9,0,0,,0,,4,12,2,0,0,0,0,1,8,0,Matches
1401,Jules Koundé,fr FRA,DF,Barcelona,es La Liga,25,1998,28.9,2453,79,567,1194,706,79,2453,50,22,44.0,27,54.0,1287,4667,2501,44,42,7,41,13,1625,190,Matches
1402,Boubakar Kouyaté,ml MLI,DF,Montpellier,fr Ligue 1,27,1997,8.4,375,53,183,178,16,9,375,0,0,,0,,174,963,416,3,1,0,3,0,212,0,Matches
1403,Mateo Kovačić,hr CRO,MF,Manchester City,eng Premier League,30,1994,24.4,2123,53,318,1199,627,17,2123,41,22,53.7,11,26.8,1445,8397,3961,56,78,3,19,29,1729,16,Matches
1404,Viktor Kovalenko,ua UKR,MF,Empoli,it Serie A,28,1996,0.9,44,0,8,24,12,3,44,1,1,100.0,0,0.0,21,106,43,1,0,0,1,2,31,3,Matches
1405,Matej Kovar,cz CZE,GK,Leverkusen,de Bundesliga,24,2000,5.0,155,134,155,0,0,0,155,0,0,,0,,99,489,214,0,0,0,0,0,84,0,Matches
1406,Mateusz Kowalski,pl POL,MF,Parma,it Serie A,19,2005,0.6,18,1,2,10,6,2,18,0,0,,0,,9,31,10,0,0,0,2,2,14,2,Matches
1407,Goduine Koyalipou,cf CTA,FW,Lens,fr Ligue 1,24,2000,9.8,318,9,18,147,157,60,318,25,12,48.0,13,52.0,174,821,393,15,8,8,29,16,233,68,Matches
1408,Caleb Kporha,eng ENG,DF,Crystal Palace,eng Premier League,18,2006,0.1,11,1,4,2,5,0,11,0,0,,0,,4,46,36,1,1,0,0,2,3,0,Matches
1409,Emil Krafth,se SWE,DF,Newcastle Utd,eng Premier League,29,1994,3.8,199,34,100,73,28,4,199,1,0,0.0,1,100.0,82,397,175,5,6,0,2,2,98,3,Matches
1410,Alex Král,cz CZE,MF,Espanyol,es La Liga,26,1998,30.2,1155,84,278,646,253,45,1155,55,29,52.7,21,38.2,618,4041,1902,49,33,7,52,29,684,79,Matches
1411,Andrej Kramarić,hr CRO,"MF,FW",Hoffenheim,de Bundesliga,33,1991,30.7,1554,11,176,715,676,131,1551,47,20,42.6,22,46.8,938,5047,2534,75,55,22,46,38,1153,202,Matches
1412,Frans Krätzig,de GER,"DF,MF",Heidenheim,de Bundesliga,21,2003,13.5,676,23,186,289,210,26,676,20,9,45.0,11,55.0,372,1784,822,25,17,6,21,8,403,57,Matches
1413,Frans Krätzig,de GER,DF,Stuttgart,de Bundesliga,21,2003,0.6,48,4,12,22,14,0,48,0,0,,0,,30,85,39,0,0,0,1,0,33,2,Matches
1414,Tom Krauß,de GER,MF,Bochum,de Bundesliga,23,2001,12.0,768,23,157,450,171,8,768,23,12,52.2,11,47.8,430,2192,1021,16,20,1,23,7,461,20,Matches
1415,Ladislav Krejčí,cz CZE,DF,Girona,es La Liga,25,1999,27.1,2351,259,1089,1175,106,28,2351,12,7,58.3,4,33.3,1523,8408,5129,29,18,1,15,8,1805,6,Matches
1416,Rasmus Kristensen,dk DEN,DF,Eint Frankfurt,de Bundesliga,27,1997,27.9,1955,125,590,870,509,61,1955,49,22,44.9,24,49.0,1084,4560,2320,51,36,9,37,15,1218,162,Matches
1417,Thomas Kristensen,dk DEN,DF,Udinese,it Serie A,22,2002,19.5,1144,105,464,612,79,14,1144,13,10,76.9,3,23.1,618,3172,1772,19,13,1,16,9,693,19,Matches
1418,Nikola Krstović,me MNE,FW,Lecce,it Serie A,24,2000,34.0,1051,30,63,476,526,152,1048,65,17,26.2,43,66.2,571,2693,1162,42,22,24,86,40,786,149,Matches
1419,Lukas Kübler,de GER,DF,Freiburg,de Bundesliga,31,1992,20.5,1268,75,370,650,258,26,1268,9,0,0.0,7,77.8,519,2373,1091,24,17,3,12,7,681,49,Matches
1420,Takefusa Kubo,jp JPN,"MF,FW",Real Sociedad,es La Liga,23,2001,26.4,1341,10,126,537,703,118,1341,157,75,47.8,66,42.0,878,6399,3647,133,63,57,89,48,988,218,Matches
1421,Mohammed Kudus,gh GHA,"FW,MF",West Ham,eng Premier League,23,2000,28.8,1274,13,171,536,612,127,1274,208,92,44.2,98,47.1,842,5574,2613,98,59,42,77,93,989,216,Matches
1422,Dejan Kulusevski,se SWE,"MF,FW",Tottenham,eng Premier League,24,2000,26.5,1276,24,149,432,719,158,1276,117,38,32.5,71,60.7,823,6157,3208,120,67,40,77,74,895,210,Matches
1423,Sael Kumbedi,fr FRA,DF,Lyon,fr Ligue 1,19,2005,10.6,629,28,181,269,180,20,629,22,9,40.9,12,54.5,324,1392,871,23,15,6,10,11,419,71,Matches
1424,Marash Kumbulla,al ALB,DF,Espanyol,es La Liga,24,2000,33.0,1845,331,1149,653,51,24,1845,8,4,50.0,2,25.0,998,4956,2892,11,11,0,14,1,1155,3,Matches
1425,Jonah Kusi-Asare,se SWE,FW,Bayern Munich,de Bundesliga,17,2007,0.0,3,0,0,1,2,1,3,0,0,,0,,1,2,2,0,0,0,0,0,2,0,Matches
1426,Daler Kuzyaev,ru RUS,MF,Le Havre,fr Ligue 1,31,1993,6.3,317,16,102,156,60,4,317,3,2,66.7,1,33.3,140,628,317,4,3,0,5,2,199,9,Matches
1427,Khvicha Kvaratskhelia,ge GEO,"FW,MF",Napoli,it Serie A,23,2001,13.1,659,2,55,275,342,74,658,72,19,26.4,42,58.3,405,3292,1912,74,51,37,25,21,471,89,Matches
1428,Khvicha Kvaratskhelia,ge GEO,FW,Paris S-G,fr Ligue 1,23,2001,10.2,668,4,31,242,404,71,668,53,25,47.2,25,47.2,444,2947,1517,50,37,28,19,25,555,131,Matches
1429,Moritz-Broni Kwarteng,gh GHA,"MF,FW",Bochum,de Bundesliga,26,1998,1.9,104,1,12,48,45,3,104,7,6,85.7,1,14.3,63,303,128,4,1,1,6,2,77,16,Matches
